Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,EMA_20,EMA_50
2023-01-23,6466.77392578125,6498.400971595618,6184.5577428537845,6230.225333413742,422749.0,63.66245426681249,-33.84548135684872,-89.0657421035973,55.22026074674858,6124.672387695313,6344.02888671875,6164.070185831179,6416.175483863451
2023-01-24,6508.943359375,6626.610371618653,6467.11350582504,6552.813300148806,368883.0,65.17191842004789,-3.540683623069526,-71.96073040749175,68.42004678442223,6137.653662109375,6338.16400390625,6196.915249978209,6419.813439765865
2023-01-25,6410.1748046875,6563.501110127062,6390.450008916028,6488.683999027168,174700.0,58.99092819989645,12.363768171892843,-55.095830691614836,67.45959886350768,6150.535302734375,6331.378955078125,6217.225683760047,6419.435454076518
2023-01-27,6475.42138671875,6558.643186486163,6291.4392048145055,6510.0606443640445,305450.0,61.582987264364405,29.888478906371347,-38.0989687720176,67.98744767838895,6170.354565429688,6327.903359375,6241.815750708495,6421.630980846802
2023-01-30,6391.6650390625,6509.089140918484,6359.454907793921,6466.336502882895,147520.0,56.63430911583091,36.59663788637408,-23.159847440339266,59.756485326713346,6184.552807617188,6321.753779296875,6256.0871115041155,6420.455845874869
2023-01-31,6444.6689453125,6461.478315666417,6325.4955859995,6393.462754448876,164980.0,58.885922576626854,45.663494134110806,-9.395179125449252,55.05867325956006,6200.696801757813,6317.4192578125,6274.047286152533,6421.405379186149
2023-02-01,6410.1259765625,6554.707900180793,6201.02700918879,6477.024228990931,221307.0,56.815537391784524,49.49121027824549,2.3820987552896975,47.10911152295579,6209.4659423828125,6312.957431640625,6287.007161429673,6420.963049671496
2023-02-02,6401.478515625,6489.6558275504685,6366.839258775663,6432.182776428421,154532.0,56.28205115852118,51.23630484312798,12.152939972857354,39.08336487027063,6220.0909423828125,6310.148388671875,6297.909195162561,6420.198950297125
2023-02-03,6384.86328125,6453.704837708333,6298.240704309758,6433.494690142072,121697.0,55.20936810207205,50.694222858714056,19.861196550028694,30.833026308685362,6233.873779296875,6309.23017578125,6306.1905366946985,6418.813237785473
2023-02-06,6480.13427734375,6503.988116814542,6325.447266549046,6388.604574125956,140677.0,59.92571950074771,57.29176831021323,27.3473109020656,29.944457408147628,6256.965087890625,6307.07796875,6322.756607232703,6421.217984434817
2023-02-07,6502.7734375,6542.3198176238975,6436.215353007097,6510.060819013821,137821.0,60.977248238874004,63.61386064723865,34.60062085110022,29.013239796138436,6279.337329101562,6305.048193359375,6339.901067258159,6424.416237496197
2023-02-08,6507.9716796875,6631.419729249763,6480.911108880335,6535.323555971384,154384.0,61.22881045942025,68.2567972037723,41.33185612163464,26.924941082137657,6303.53388671875,6303.4177734375,6355.90779225143,6427.692921503699
2023-02-09,6495.63134765625,6544.0682356467705,6451.761408269422,6510.060457139326,77303.0,60.23606223131756,70.13215637003032,47.09191617131378,23.04024019871654,6326.287524414062,6297.10009765625,6369.2147975280795,6430.357173509681
2023-02-10,6494.17431640625,6544.06868403721,6478.530642333168,6519.777412010346,76760.0,60.112133459641775,70.68599759578683,51.810732456208385,18.875265139578445,6349.947216796875,6289.56009765625,6381.115704087906,6432.859806564449
2023-02-13,6385.640625,6510.060319388286,6364.312700297503,6495.485557479207,69536.0,51.59651268962075,61.656422061099875,53.77987037718668,7.876551683913192,6365.964868164063,6280.58203125,6381.546648936677,6431.008073954079
2023-02-14,6409.7861328125,6437.186876538,6376.167392978223,6393.559848292713,65601.0,53.185395908575416,55.80546838151804,54.184989978052954,1.6204784034650856,6382.6748046875,6273.496748046875,6384.236123591518,6430.175840968135
2023-02-15,6461.4296875,6471.242981424183,6374.077897510403,6422.6120467008905,121266.0,56.47623219978749,54.705141873936554,54.289020357229674,0.41612151670688036,6401.8746337890625,6268.9358203125,6391.587891582802,6431.401482008601
2023-02-16,6499.12939453125,6599.452341267987,6456.716931307077,6461.477925416978,129947.0,58.75551065324514,56.22702631779521,54.676621549342784,1.5504047684524238,6422.5634765625,6266.060693359375,6401.829939482654,6434.057478578116
2023-02-17,6474.0126953125,6557.67193280129,6437.187221041419,6480.911511599437,81448.0,56.627812773691005,54.77501075843611,54.69629939116145,0.0787113672746571,6440.113940429687,6262.806640625,6408.704487656924,6435.624349822601
2023-02-20,6477.89892578125,6529.493680555561,6437.186850250087,6477.07292767495,68365.0,56.88795487965014,53.323187770594814,54.42167706704813,-1.098489296453316,6454.1348876953125,6261.274345703125,6415.294434144955,6437.282176330784
2023-02-21,6472.89501953125,6521.914994458658,6456.862780581685,6509.08901352345,56129.0,56.418722609100634,51.17887595367483,53.773116844373476,-2.594240890698643,6454.440942382813,6260.681630859375,6420.780204181744,6438.678758417077
2023-02-22,6333.171875,6432.231394923786,6315.7305523913,6422.612146354845,83155.0,45.20607398791891,37.76961868774106,50.572417213047,-12.802798525305938,6445.652368164063,6258.453642578125,6412.436553783483,6434.541233577192
2023-02-23,6300.669921875,6339.92452123408,6233.140187960232,6325.44701849121,78315.0,43.062163724433375,24.240618943061236,45.30605755904985,-21.06543861598861,6440.1771240234375,6255.797138671875,6401.792112649341,6429.291378216321
2023-02-24,6328.21630859375,6340.0217714873625,6257.431449559941,6329.333612179108,63935.0,45.42452961500645,15.562161457493858,39.35727833873865,-23.795116881244795,6432.816870117187,6255.068408203125,6394.784893215476,6425.327649995828
2023-02-27,6178.4365234375,6325.349849048225,6169.982971166013,6315.730600406155,76466.0,36.545699778520316,-3.362791359417315,30.81326439910746,-34.176055758524775,6422.155444335937,6253.694501953125,6374.180286569955,6415.645645032757
2023-02-28,5955.4912109375,6208.849180224436,5916.382262658308,6199.132671335196,203406.0,27.826850433865218,-35.936522439797045,17.46330703132656,-53.39982947112361,6397.696557617188,6249.340537109375,6334.305136509721,6397.6003731074525
2023-03-01,6018.98828125,6066.939344238537,5949.417987456155,5955.102239656787,97556.0,32.74801643637039,-55.982425541207704,2.774160516819709,-58.75658605802741,6378.139672851563,6247.01537109375,6304.274959818319,6382.752840093435
2023-03-02,5976.1865234375,6060.331575989912,5957.482245896573,6041.72455841489,101691.0,31.203514456428394,-74.46431405822477,-12.673534398189187,-61.79077966003558,6356.875073242188,6246.0038671875,6273.028442067765,6366.8090629696735
2023-03-03,6001.35302734375,6045.563140614214,5975.65267282086,6005.773848895242,78784.0,33.19848170108045,-86.0882456154095,-27.35647664163325,-58.731768973776255,6337.699560546875,6248.445634765625,6247.154593046431,6352.477453729442
